ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
TCPF11	Treecorp Real Estate	Indefinido	BR-CAPITAL	0,0	R$3,19	R$32,37 M	R$108,86	03/03/2017	Renda Gestão Ativa	297.327	-1.0	-1.0	0	0
TEPP11	Tellus Properties	Tijolo: Escritórios	BRL Trust DTVM	0,0075	R$0,48	R$397,34 M	R$94,11	12/12/2016	Renda Gestão Ativa	4.221.967	0,00062	0,00565	0,00565	10
TGAR11	TG Ativo Real	Tijolo: Desenvolvimento	Vórtx DTVM LTDA	0,0105	R$1,20	R$1,46 B	R$129,24	09/12/2016	Híbrido Gestão Ativa	11.309.572	0,00054	0,00867	0,00867	10
TORD11	Tordesilhas EI FII	Indefinido	Vórtx DTVM LTDA	0,008199999999999999	R$0,08	R$452,74 M	R$12,92	28/08/2019	Híbrido Gestão Ativa	35.051.355	0,00392	0,00960	0,00960	10
TORM13	Tourmalet I	Tijolo: Desenvolvimento	Vórtx DTVM LTDA	0,0	R$10,56	R$69,47 M	R$36,94	05/10/2016	Desenvolvimento para Renda Gestão Ativa	1.880.850	-1.0	-1.0	0	0
TOUR11	Tourmalet II	Tijolo: Desenvolvimento	Vórtx DTVM LTDA	6,3313999999999995	R$76,61	R$64,71 M	R$79,89	26/07/2018	Desenvolvimento para Renda Gestão Ativa	810.000	0,17071	0,12719	0,12719	7
TRNT11	Torre Norte	Tijolo: Escritórios	BTG Pactual	0,0034000000000000002	R$0,35	R$814,43 M	R$206,94	10/08/2001	Renda Gestão Passiva	3.935.562	0,00113	0,00284	0,00284	9
TRXB11	TRX Real Estate II	Tijolo: Desenvolvimento	BRL Trust DTVM	0,0070999999999999995	R$0,85	R$255,89 M	R$102,30	06/03/2020	Títulos e Valores Mobiliários Gestão Passiva	2.501.419	0,00024	0,00676	0,00676	7
TRXF11	TRX Real Estate	Tijolo: Outros	BRL Trust DTVM	0,008	R$0,77	R$574,76 M	R$101,88	01/09/2017	Renda Gestão Ativa	5.641.522	0,00038	0,00678	0,00678	10
TSER11	Tishman Speyer Renda Corporativa	Tijolo: Escritórios	BRL Trust DTVM	0,0091	R$0,93	R$116,37 M	R$96,57	26/10/2020	Renda Gestão Ativa	1.205.000	0,00075	0,00835	0,00835	2
TSNC11	Transinc	Tijolo: Outros	BTG Pactual	0,0	R$37,56	R$100,04 M	R$5.523,36	14/08/2013	Renda Gestão Ativa	18.113	-1.0	-1.0	0	0
URPR11	Urca Prime Renda	Papel: CRIs	Vórtx DTVM LTDA	0,013300000000000001	R$1,37	R$345,78 M	R$94,66	03/12/2019	Híbrido Gestão Ativa	3.652.937	0,00361	0,01571	0,01571	10
VCJR11	Vectis Juros Real	Papel: CRIs	INTRAG DTVM	0,0123	R$1,19	R$1,09 B	R$93,94	29/07/2019	Títulos e Valores Mobiliários Gestão Ativa	11.603.880	0,00240	0,00880	0,00880	10
VCRR11	Vectis Renda Residencial	Tijolo: Outros	BRL Trust DTVM	0,009899999999999999	R$0,67	R$196,09 M	R$98,05	15/01/2021	Renda Gestão Ativa	2.000.000	0,00074	0,00773	0,00773	3
VERE11	Vereda	Tijolo: Galpões	Votorantim Asset Management	0,0085	R$2,18	R$174,06 M	R$316,42	31/05/2007	Híbrido Gestão Ativa	550.084	-1.0	-1.0	0	0
VGHF11	Valora Hedge Fund	Papel: Híbrido	Banco Daycoval S.A.	0,0152	R$0,15	R$151,97 M	R$6,80	28/09/2020	Híbrido Gestão Ativa	22.347.516	0,00255	0,01135	0,01135	8
VGIP11	Valora CRI Índice de Preço	Papel: CRIs	BTG Pactual	0,013000000000000001	R$1,25	R$703,68 M	R$95,72	03/01/2020	Títulos e Valores Mobiliários Gestão Ativa	7.351.274	0,00158	0,01027	0,01027	10
